student,time,hand
1,8.5,dominant
2,8,dominant
3,8.8,dominant
4,8.5,dominant
5,8.1,dominant
6,9.5,dominant
7,9,dominant
8,9.3,dominant
9,9.5,dominant
10,7.9,dominant
11,8.4,dominant
12,8.5,dominant
13,8,dominant
14,8,dominant
15,8,dominant
16,8,dominant
17,8,dominant
18,6,dominant
19,2,dominant
20,10,dominant
21,11.2,dominant
22,8.1,dominant
23,8.2,dominant
24,9,dominant
25,9.3,dominant
26,8.7,dominant
27,8.5,dominant
28,8.8,dominant
29,10.1,dominant
30,9.5,dominant
31,9.4,dominant
32,9.7,dominant
33,8.5,dominant
34,7.9,dominant
35,10.5,dominant
36,10.9,dominant
37,8.6,dominant
38,8.7,dominant
39,8.9,dominant
40,10.5,dominant
41,9.5,dominant
42,9.8,dominant
43,9.8,dominant
44,9.8,dominant
45,10.1,dominant
46,8.5,dominant
47,8.7,dominant
48,8.8,dominant
49,8.8,dominant
50,8.9,dominant
51,8.5,dominant
52,8.6,dominant
53,9.5,dominant
54,9.4,dominant
55,9.8,dominant
56,9.8,dominant
57,9.9,dominant
58,8.8,dominant
59,9.6,dominant
60,9.3,dominant
61,10.1,dominant
62,9.9,dominant
63,9.8,dominant
64,9.8,dominant
65,9.8,dominant
66,10.2,dominant
67,8.5,dominant
68,8.7,dominant
69,8.8,dominant
70,8.8,dominant
71,8.9,dominant
72,8.5,dominant
73,8,dominant
74,8.5,dominant
75,8.5,dominant
76,8.1,dominant
77,9.5,dominant
78,9,dominant
79,9.3,dominant
80,9.5,dominant
81,7.9,dominant
82,8.4,dominant
83,8.5,dominant
84,8.8,dominant
85,11.2,dominant
86,13.5,dominant
87,14,dominant
88,6.8,dominant
89,7.2,dominant
90,8.8,dominant
91,9.6,dominant
92,13.5,dominant
93,11.2,dominant
94,7.5,dominant
95,7.6,dominant
96,8.1,dominant
,16.5,weak
,14.2,weak
,21.5,weak
,15.4,weak
,18.6,weak
,18.9,weak
,16.5,weak
,16.7,weak
,17.5,weak
,11.2,weak
,14.5,weak
,11.5,weak
,12.5,weak
,12.7,weak
,13.5,weak
,11.6,weak
,14.5,weak
,15.9,weak
,14.7,weak
,13.5,weak
,17.8,weak
,10.5,weak
,16.8,weak
,18.5,weak
,19.2,weak
,18.9,weak
,16.5,weak
,16.7,weak
,21.5,weak
,20.5,weak
,19.6,weak
,17.8,weak
,14.2,weak
,13.9,weak
,19.9,weak
,18.5,weak
,10.8,weak
,15.9,weak
,17.8,weak
,15.6,weak
,16.5,weak
,17.5,weak
,16.8,weak
,16.8,weak
,15.9,weak
,16.9,weak
,16.4,weak
,15.7,weak
,14.8,weak
,15.8,weak
,14.5,weak
,16,weak
,17,weak
,15.9,weak
,14.5,weak
,16.4,weak
,16.8,weak
,16.7,weak
,13.2,weak
,16,weak
,21,weak
,16.5,weak
,15.9,weak
,15.8,weak
,14.7,weak
,17.2,weak
,16.5,weak
,16.4,weak
,15.4,weak
,15.3,weak
,15.8,weak
,16.1,weak
,16.2,weak
,16.7,weak
,16.7,weak
,16.9,weak
,16.5,weak
,18.4,weak
,15.9,weak
,19.2,weak
,14,weak
,20,weak
,17.4,weak
,16.3,weak
,18.1,weak
,19.7,weak
,17.8,weak
,13.5,weak
,15,weak
,16.1,weak
,16.8,weak
,18.4,weak
,19.2,weak
,16.3,weak
,16.8,weak
,15,weak